skill_id,canonical_name,abbreviation,aliases,skill_group,observed_count
SK0001,A/B Testing,,AB testing; A-B testing,"Machine Learning, Statistics & Optimization",1
SK0002,AI API Integration,,,Generative AI & Agentic Systems,0
SK0003,AI Agents,,AI Agent; AI agents,Generative AI & Agentic Systems,4
SK0004,API Design,,API architecture,Software Engineering & APIs,1
SK0005,API Integration,,,Software Engineering & APIs,0
SK0006,AWS Glue,,Glue,Cloud Platforms & Services,2
SK0007,AWS Lambda,,Lambda,Cloud Platforms & Services,3
SK0008,AWS Step Functions,,Step Functions,Cloud Platforms & Services,1
SK0009,Advanced Analytics,,,"Machine Learning, Statistics & Optimization",0
SK0010,Agentic AI,,agentic AI,Generative AI & Agentic Systems,2
SK0011,Airbyte,,,Data Engineering & Architecture,1
SK0012,Alerting,,,"Data Quality, Testing & Observability",2
SK0013,Amazon Athena,,Athena,Cloud Platforms & Services,3
SK0014,Amazon Bedrock,,Bedrock,Cloud Platforms & Services,1
SK0015,Amazon Redshift,,Redshift,Cloud Platforms & Services,5
SK0016,Amazon S3,S3,,Cloud Platforms & Services,6
SK0017,Amazon SageMaker,,SageMaker,Cloud Platforms & Services,2
SK0018,Amazon Web Services,AWS,,Cloud Platforms & Services,17
SK0019,Analytical Data Modeling,,,Data Engineering & Architecture,0
SK0020,Anomaly Detection,,,"Machine Learning, Statistics & Optimization",2
SK0021,Anthropic API,,Anthropic; Claude API,Generative AI & Agentic Systems,2
SK0022,Apache Airflow,,Airflow,Data Engineering & Architecture,12
SK0023,Apache Flink,,Flink,"Distributed, Streaming & Big Data",5
SK0024,Apache Hadoop,,Hadoop,"Distributed, Streaming & Big Data",4
SK0025,Apache Hudi,,Hudi,"Databases, Storage & Data Formats",2
SK0026,Apache Iceberg,,Iceberg,"Databases, Storage & Data Formats",5
SK0027,Apache Kafka,,Kafka,"Distributed, Streaming & Big Data",7
SK0028,Apache Spark,,Spark,"Distributed, Streaming & Big Data",13
SK0029,Asynchronous Programming,,async programming,Software Engineering & APIs,2
SK0030,Audio Processing,,,"NLP, Vision & Multimodal AI",0
SK0031,AutoGen,,,Generative AI & Agentic Systems,1
SK0032,Automation Engineering,,,Software Engineering & APIs,1
SK0033,Automation Testing,,,"Data Quality, Testing & Observability",0
SK0034,Azure AI Services,,Azure AI; Azure Cognitive Services,Cloud Platforms & Services,1
SK0035,Azure Blob Storage,,,Cloud Platforms & Services,0
SK0036,Azure Data Factory,ADF,,Cloud Platforms & Services,4
SK0037,Azure Data Lake Storage,ADLS,Azure Data Lake,Cloud Platforms & Services,1
SK0038,Azure SQL,,,Cloud Platforms & Services,2
SK0039,Azure Service Bus,,,Cloud Platforms & Services,0
SK0040,BI Publisher,,,Data Analysis & BI,1
SK0041,Backend Development,,,Software Engineering & APIs,0
SK0042,Batch Processing,,,"Distributed, Streaming & Big Data",0
SK0043,Big Data,,,"Distributed, Streaming & Big Data",7
SK0044,BigQuery,,,"Databases, Storage & Data Formats",7
SK0045,BigQuery ML,BQML,,Cloud Platforms & Services,2
SK0046,Business Intelligence,BI,,Data Analysis & BI,15
SK0047,C,,,Programming & Query Languages,1
SK0048,C#,,,Programming & Query Languages,3
SK0049,C++,,,Programming & Query Languages,3
SK0050,CI/CD,,CI CD; Continuous Integration/Continuous Delivery; Continuous Integration and Continuous Delivery,"DevOps, MLOps & Infrastructure",16
SK0051,CRM,,,Applied Analytics & Business Platforms,4
SK0052,CSV,,,"Databases, Storage & Data Formats",3
SK0053,Caching,,,Software Engineering & APIs,2
SK0054,Calculus,,,"Machine Learning, Statistics & Optimization",0
SK0055,Celery,,,Software Engineering & APIs,1
SK0056,ChatGPT,,,Generative AI & Agentic Systems,2
SK0057,Chatbot Development,,,"NLP, Vision & Multimodal AI",0
SK0058,Classification,,,"Machine Learning, Statistics & Optimization",0
SK0059,Claude,,,Generative AI & Agentic Systems,5
SK0060,Claude Code,,,Generative AI & Agentic Systems,3
SK0061,ClickHouse,,,"Databases, Storage & Data Formats",5
SK0062,Cloud Computing,,cloud,Cloud Platforms & Services,21
SK0063,Clustering,,,"Machine Learning, Statistics & Optimization",2
SK0064,Codex,,,Generative AI & Agentic Systems,1
SK0065,Cohort Analysis,,cohort analysis,Applied Analytics & Business Platforms,1
SK0066,Computer Vision,CV,,"NLP, Vision & Multimodal AI",3
SK0067,Confluence,,,Engineering Tools & Collaboration,2
SK0068,Convolutional Neural Networks,CNN,CNNs,"Machine Learning, Statistics & Optimization",1
SK0069,Credit Scoring,,,Applied Analytics & Business Platforms,1
